OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
238788322,way,81,Orlen,"współrzędne: 51.03689, 16.58420",51.036892,16.584199,
1015693809,way,561,Orlen,"współrzędne: 52.25464, 21.04243",52.254638,21.042427,
697833186,way,765,Orlen,"ul. Morska 4, 84-110 Odargowo",54.787999,18.118460,
3306601540,node,952,Orlen,"współrzędne: 52.96756, 17.10509",52.967565,17.105095,
190602227,way,4233,Orlen,"ul. Krakowska 46, 24-220 Niedrzwica Kościelna",51.095302,22.366980,
1522690248,way,4233,Orlen,"współrzędne: 51.09532, 22.36705",51.095315,22.367049,
501770905,way,4311,Orlen,76-015,54.090378,16.367845,
7217053634,node,4498,Orlen,"współrzędne: 51.43845, 16.89737",51.438452,16.897372,
1144940701,way,4499,Orlen,"współrzędne: 53.29904, 20.43753",53.299038,20.437530,
965683971,way,4505,Orlen,"współrzędne: 51.07288, 16.21215",51.072882,16.212146,
8757347119,node,4534,Orlen,"współrzędne: 52.39793, 16.63665",52.397933,16.636646,
1012618936,way,4537,Orlen,"ul. Zamojska 210, 22-460 Szczebrzeszyn",50.709653,23.003749,
9297298652,node,4549,Orlen,"współrzędne: 52.83636, 17.69055",52.836360,17.690549,
10247678664,node,4554,Orlen,"współrzędne: 49.95990, 20.42524",49.959899,20.425237,
1123721797,way,4557,Orlen,"współrzędne: 52.09268, 16.60951",52.092680,16.609511,
11036042462,node,4565,Orlen,"współrzędne: 49.68458, 20.05285",49.684581,20.052845,
1177337266,way,4581,Orlen,"współrzędne: 54.47389, 18.34116",54.473895,18.341165,
234706324,way,4608,Orlen,"współrzędne: 50.24392, 19.02373",50.243922,19.023731,
3370845896,node,4620,Orlen,"ul. Aleja Wojska Polskiego 258, 42-200 Częstochowa",50.818868,19.139796,
828546629,way,4638,Orlen,"współrzędne: 53.40430, 14.59460",53.404303,14.594599,
1408344158,way,4675,Orlen,"współrzędne: 51.90501, 15.58972",51.905012,15.589724,
1303312613,way,4676,Orlen,"współrzędne: 51.90444, 15.58681",51.904443,15.586813,
12347721121,node,4677,Orlen,"współrzędne: 51.06850, 16.95850",51.068496,16.958501,
3308217536,node,7323,Orlen,"współrzędne: 51.91121, 16.18467",51.911210,16.184668,
2593347372,node,7599,Orlen,"współrzędne: 52.00480, 16.52638",52.004802,16.526379,
530975574,way,7633,Orlen,"współrzędne: 51.52321, 15.21516",51.523205,15.215163,
965916866,node,7647,Orlen,"współrzędne: 49.77115, 19.64493",49.771151,19.644935,
679060872,way,7677,Orlen,"ul. Południowa 28, 71-001 Szczecin",53.392738,14.500694,
3668292894,node,7700,Orlen,"współrzędne: 53.59448, 19.58362",53.594477,19.583621,
3716116516,node,7745,Orlen,"współrzędne: 52.14917, 18.27209",52.149168,18.272091,
4097435030,node,7762,Orlen,"ul. Kazimierza Stefanowicza 116, 07-430 Myszyniec",53.368662,21.362247,
12704328465,node,7791,Orlen,"współrzędne: 51.13020, 22.16333",51.130204,22.163328,
2705313838,node,7792,Orlen,"współrzędne: 50.95832, 19.17011",50.958321,19.170112,
4763214,relation,,Orlen,"ul. Lubliniecka 6, 42-793 Ciasna",50.748524,18.613856,
43760636,way,,Orlen,"współrzędne: 50.18547, 19.28776",50.185474,19.287758,
51534425,way,,Orlen,ul. Stanisława Ignacego Witkiewicza 22,53.435760,14.497477,
56362536,way,,Orlen,"współrzędne: 53.40659, 14.50344",53.406588,14.503442,
61986818,way,,Orlen,"ul. Szosa Stargardzka 22G, 70-893 Szczecin",53.361731,14.741612,
101524269,way,,Orlen,"współrzędne: 52.10851, 20.64197",52.108512,20.641972,
122451488,way,,Orlen,"współrzędne: 53.36526, 18.63760",53.365259,18.637597,
124879137,way,,Orlen,"współrzędne: 51.05024, 16.96971",51.050237,16.969710,
126704615,way,,Orlen,"współrzędne: 53.28336, 17.93092",53.283363,17.930916,
127626899,way,,Orlen,"współrzędne: 51.18689, 20.39726",51.186886,20.397261,
128164205,way,,Orlen,"współrzędne: 54.47675, 17.02576",54.476745,17.025760,
128384080,way,,Orlen,"współrzędne: 52.21426, 21.02019",52.214264,21.020189,
139710916,way,,Orlen,"ul. Bernardyńska, Bydgoszcz",53.120992,18.005782,
144985868,way,,Orlen,"współrzędne: 50.86128, 15.65711",50.861280,15.657108,
146601739,way,,Orlen,"współrzędne: 50.09329, 18.76551",50.093291,18.765513,
148935159,way,,Orlen,"współrzędne: 51.84498, 19.41474",51.844977,19.414744,
151376605,way,,Orlen,"współrzędne: 50.95432, 21.29527",50.954322,21.295274,
162545451,way,,Orlen,"współrzędne: 53.49369, 15.06584",53.493688,15.065837,
163977687,way,,Orlen,"współrzędne: 54.47417, 18.51587",54.474174,18.515875,
