ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki,Audyt
ORL-PL-1,Orlen nr 1 (Grodzisk Mazowiecki),"ul. Żyrardowska 24, 05-825 Grodzisk Mazowiecki",52.045660,17.763642,,Do zrobienia,,,Tak
ORL-PL-5,Orlen nr 5 (Żukowo),"ul. Gdańska 39A, 83-330 Żukowo",54.342092,18.359560,,Do zrobienia,,,Tak
ORL-PL-6,Orlen nr 6 (Bydgoszcz),"ul. Szubińska 30a, 85-315 Bydgoszcz",53.112085,18.008149,,Do zrobienia,,,Nie
ORL-PL-8,Orlen nr 8 (Poznań),"ul. Małe Garbary 1A, 61-756 Poznań",52.411391,16.933896,,Do zrobienia,,,Nie
ORL-PL-9,Orlen nr 9 (Łódź),"ul. Aleja Grzegorza Palki 7, 91-725 Łódź",52.035332,19.109206,,Do zrobienia,,,Tak
ORL-PL-10,Orlen nr 10 (Kielce),"Żytnia, 25-018 Kielce",50.854457,20.566962,,Do zrobienia,,,Nie
ORL-PL-11,Orlen nr 11 (Rybnik),"ul. Piłsudskiego 2a, 44-200 Rybnik",50.106459,18.574948,,Do zrobienia,,,Nie
ORL-PL-12,Orlen nr 12 (Katowice),"ul. Murckowska 5, 40-266 Katowice",51.783839,19.402334,,Do zrobienia,,,Tak
ORL-PL-13,Orlen nr 13 (Cieszyn),"ul. Filasiewicza 2, 43-400 Cieszyn",49.756177,18.638836,,Do zrobienia,,,Nie
ORL-PL-14,Orlen nr 14 (Jabłonka),"ul. Podhalańska 37, 34-480 Jabłonka",52.299179,18.552329,,Do zrobienia,,,Tak
ORL-PL-15,Orlen nr 15 (Radom),"ul. Struga 102, 26-600 Radom",51.410269,21.182886,,Do zrobienia,,,Nie
ORL-PL-16,Orlen nr 16 (Łódź),"ul. Kusocińskiego 141, 94-054 Łódź",51.747316,19.382021,,Do zrobienia,,,Nie
ORL-PL-18,Orlen nr 18 (Konstancin-Jeziorna),"ul. Warszawska 4, 05-520 Konstancin-Jeziorna",52.092131,21.119556,,Do zrobienia,,,Tak
ORL-PL-19,Orlen nr 19 (Piaseczno),"ul. Okulickiego 1, 05-500 Piaseczno",52.082212,21.015585,,Do zrobienia,,,Nie
ORL-PL-20,Orlen nr 20 (Bydgoszcz),"ul. Bernardyńska 9, 85-029 Bydgoszcz",51.807810,18.738833,,Do zrobienia,,,Tak
ORL-PL-21,Orlen nr 21 (Gorzów Wielkopolski),"ul. Myśliborska 45, 66-400 Gorzów Wielkopolski",52.713688,15.256121,,Do zrobienia,,,Nie
ORL-PL-26,Orlen nr 26 (Piątnica Poduchowna),"ul. Stawiskowska 55, 18-421 Piątnica Poduchowna",51.973382,18.561182,,Do zrobienia,,,Tak
ORL-PL-27,Orlen nr 27 (Siemianowice Śląskie),"ul. Wyzwolenia 16, 41-103 Siemianowice Śląskie",52.393047,19.278529,,Do zrobienia,,,Tak
ORL-PL-29,Orlen nr 29 (Włocławek),"ul. Witosa 1, 87-800 Włocławek",52.664242,19.055571,,Do zrobienia,,,Tak
ORL-PL-31,Orlen nr 31 (Koszalin),"ul. Piłsudskiego 37A, 75-502 Koszalin",54.211481,16.181126,,Do zrobienia,,,Nie
ORL-PL-37,Orlen nr 37 (Karpacz),"ul. Konstytucji 3-go Maja 86, 58-540 Karpacz",50.774045,15.738907,,Do zrobienia,,,Nie
ORL-PL-38,Orlen nr 38 (Wrocław),"ul. Tęczowa 5, 53-601 Wrocław",51.106713,17.018209,,Do zrobienia,,,Nie
ORL-PL-46,Orlen nr 46 (Kraków),"ul. Wielicka 21, 30-552 Kraków",50.013259,19.966378,,Do zrobienia,,,Nie
ORL-PL-47,Orlen nr 47 (Krynica-Zdrój),"ul. Stara Droga 5, 33-380 Krynica-Zdrój",49.434075,20.950286,,Do zrobienia,,,Nie
ORL-PL-51,Orlen nr 51 (Szczecinek),"ul. Koszalińska 34, 78-400 Szczecinek",53.714604,16.683101,,Do zrobienia,,,Tak
ORL-PL-52,Orlen nr 52 (Włocławek),"ul. Chopina 53, 87-800 Włocławek",52.664242,19.055571,,Do zrobienia,,,Nie
ORL-PL-56,Orlen nr 56 (Węgierska Górka),"ul. Zielona 60, 34-350 Węgierska Górka",49.604630,19.116142,,Do zrobienia,,,Nie
ORL-PL-58,Orlen nr 58 (Sochaczew),"ul. Warszawska 82, 96-500 Sochaczew",52.227845,20.251775,,Do zrobienia,,,Nie
ORL-PL-59,Orlen nr 59 (Grójec),"ul. Armii Krajowej 41, 05-600 Grójec",51.877701,20.863804,,Do zrobienia,,,Nie
ORL-PL-61,Orlen nr 61 (Jarocin),"ul. Poznańska 28A, 63-200 Jarocin",51.980169,17.488045,,Do zrobienia,,,Nie
ORL-PL-63,Orlen nr 63 (Gdańsk),"ul. Dąbrowskiego 4, 80-802 Gdańsk",54.359013,18.640611,,Do zrobienia,,,Nie
ORL-PL-66,Orlen nr 66 (Zielona Góra),"ul. Wrocławska 36a, 65-218 Zielona Góra",51.934510,15.520080,,Do zrobienia,,,Nie
ORL-PL-71,Orlen nr 71 (Wąbrzeźno),"ul. Chełmińska 51, 87-200 Wąbrzeźno",53.270883,18.947018,,Do zrobienia,,,Nie
ORL-PL-72,Orlen nr 72 (Przemyśl),"ul. Sanocka 10, 37-700 Przemyśl",49.779081,22.758754,,Do zrobienia,,,Nie
ORL-PL-77,Orlen nr 77 (Miastko),"Słupska, 77-200 Miastko",52.241917,19.058356,,Do zrobienia,,,Tak
ORL-PL-78,Orlen nr 78 (Gdynia),"ul. Śląska 45, 81-310 Gdynia",54.513449,18.533597,,Do zrobienia,,,Nie
ORL-PL-80,Orlen nr 80 (Wrocław),"ul. B. Krzywoustego 172, 51-312 Wrocław",51.142375,17.091586,,Do zrobienia,,,Nie
ORL-PL-81,Orlen nr 81 (Kostomłoty),55-311 Kostomłoty,51.036892,16.584199,,Do zrobienia,,,Nie
ORL-PL-84,Orlen nr 84 (Warszawa),"ul. Sanguszki 2, 00-222 Warszawa",52.165868,21.015899,,Do zrobienia,,,Nie
ORL-PL-85,Orlen nr 85 (Wróblowice),55-330 Wróblowice,49.979574,19.952788,,Do zrobienia,,,Nie
ORL-PL-86,Orlen nr 86 (Łowicz),"ul. Prymasowska 12/18, 99-400 Łowicz",52.091267,19.918761,,Do zrobienia,,,Nie
ORL-PL-87,Orlen nr 87 (Sieradz),"ul. Jana Pawła II 61, 98-200 Sieradz",51.585850,18.721322,,Do zrobienia,,,Nie
ORL-PL-89,Orlen nr 89 (Łódź),"ul. Brzezińska 30, 92-103 Łódź",51.751739,19.535368,,Do zrobienia,,,Nie
ORL-PL-90,Orlen nr 90 (Łódź),"ul. Przybyszewskiego 327, 92-313 Łódź",51.765446,19.459900,,Do zrobienia,,,Tak
ORL-PL-91,Orlen nr 91 (Łódź),"ul. Św. Teresy 70/72, 91-348 Łódź",51.803880,19.426644,,Do zrobienia,,,Nie
ORL-PL-92,Orlen nr 92 (Chodkowo-Działki),"ul. Wyszogrodzka 19, 09-470 Chodkowo-Działki",52.401224,19.728023,,Do zrobienia,,,Nie
ORL-PL-93,Orlen nr 93 (Wieluń),"ul. Sieradzka 10, 98-300 Wieluń",51.222756,18.563270,,Do zrobienia,,,Nie
ORL-PL-96,Orlen nr 96 (Lublin),"ul. Piłsudskiego 24, 20-101 Lublin",51.237624,22.564402,,Do zrobienia,,,Nie
ORL-PL-97,Orlen nr 97 (Myślenice),"ul. Jana Sobieskiego 17C, 32-400 Myślenice",49.833981,19.948947,,Do zrobienia,,,Tak
ORL-PL-98,Orlen nr 98 (Zabrze),"ul. Wolności 508, 41-800 Zabrze",50.290910,18.781914,,Do zrobienia,,,Nie
ORL-PL-100,Orlen nr 100 (Świdnica),"ul. Esperantystów 14, 58-100 Świdnica",50.853911,16.495795,,Do zrobienia,,,Nie
ORL-PL-102,Orlen nr 102 (Inowrocław),"ul. Szosa Bydgoska 22, 88-100 Inowrocław",52.811161,18.241398,,Do zrobienia,,,Nie
ORL-PL-103,Orlen nr 103 (Gdów),"ul. Gdów (Rynek) 963, 32-420 Gdów",49.908178,20.199412,,Do zrobienia,,,Nie
ORL-PL-107,Orlen nr 107 (Busko-Zdrój),"ul. Wojska Polskiego 36, 28-100 Busko-Zdrój",50.476403,20.719018,,Do zrobienia,,,Tak
ORL-PL-108,Orlen nr 108 (Włoszczowa),"ul. Jędrzejowska 58A, 29-100 Włoszczowa",52.000000,19.000000,,Do zrobienia,,,Nie
ORL-PL-109,Orlen nr 109 (Zgorzelec),"ul. Słowiańska 1, 59-900 Zgorzelec",51.157332,15.028208,,Do zrobienia,,,Nie
ORL-PL-110,Orlen nr 110 (Kłodzko),"ul. Moniuszki 4, 57-303 Kłodzko",50.437621,16.658980,,Do zrobienia,,,Nie
ORL-PL-112,Orlen nr 112 (Boguszyn),"ul. Boguszyn 79, 57-300 Boguszyn",50.437621,16.658980,,Do zrobienia,,,Tak
ORL-PL-114,Orlen nr 114 (Zawiercie),"ul. Wojska Polskiego 48, 42-400 Zawiercie",50.487527,19.403624,,Do zrobienia,,,Nie
ORL-PL-115,Orlen nr 115 (Jastrzębie-Zdrój),"ul. Jagiełły 3, 44-330 Jastrzębie-Zdrój",51.738270,19.298658,,Do zrobienia,,,Tak
ORL-PL-118,Orlen nr 118 (Radom),"ul. Żółkiewskiego 12, 26-600 Radom",51.424853,21.161727,,Do zrobienia,,,Nie
ORL-PL-119,Orlen nr 119 (Sandomierz),"ul. Żwirki i Wigury, 27-600 Sandomierz",50.680354,21.756178,,Do zrobienia,,,Tak
ORL-PL-120,Orlen nr 120 (Radom),"ul. Kielecka 22/24A, 26-600 Radom",52.000000,19.000000,,Do zrobienia,,,Tak
ORL-PL-121,Orlen nr 121 (Warszawa),"ul. Orląt Lwowskich 69, 02-495 Warszawa",52.192803,20.859665,,Do zrobienia,,,Nie
ORL-PL-122,Orlen nr 122 (Poznań),"ul. Kościelna 35, 60-537 Poznań",52.385725,16.911067,,Do zrobienia,,,Nie
ORL-PL-124,Orlen nr 124 (Duszniki-Zdrój),"ul. Świerczewskiego 14A, 57-340 Duszniki-Zdrój",52.000000,19.000000,,Do zrobienia,,,Nie
ORL-PL-125,Orlen nr 125 (Bolesławiec),"ul. 1000-lecia 32, 59-700 Bolesławiec",51.260170,15.591777,,Do zrobienia,,,Tak
ORL-PL-126,Orlen nr 126 (Kudowa-Zdrój),"ul. Zdrojowa 28, 57-350 Kudowa-Zdrój",50.440396,16.240756,,Do zrobienia,,,Nie
