ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki
ORL-PL-36449577,Orlen,"Stacja Orlen, Polska (współrzędne: 51.75232, 21.38500)",51.752321,21.384995,,Do zrobienia,,
ORL-PL-82780467,Orlen,"Stacja Orlen, Polska (współrzędne: 53.84386, 21.22162)",53.843862,21.221625,,Do zrobienia,,
ORL-PL-82782336,Orlen nr 7757,87-423,53.208731,19.171358,,Do zrobienia,,
ORL-PL-95003080,Orlen,"Stacja Orlen, Polska (współrzędne: 52.24442, 20.96723)",52.244423,20.967230,,Do zrobienia,,
ORL-PL-207628405,Orlen,ul. Grzybowska 74,52.233982,20.984953,,Do zrobienia,,
ORL-PL-211421239,Orlen nr 1363,"ul. Poznańska 47, 63-040 Nowe Miasto nad Wartą",52.088141,17.393979,,Do zrobienia,,
ORL-PL-236101751,Orlen,"Stacja Orlen, Polska (współrzędne: 50.08966, 19.89310)",50.089657,19.893103,,Do zrobienia,,
ORL-PL-243691232,Orlen,"ul. Zakręty 3, 32-400 Jawornik",49.865810,19.911388,,Do zrobienia,,
ORL-PL-246814960,Orlen,"Stacja Orlen, Polska (współrzędne: 52.14800, 21.05957)",52.148003,21.059570,,Do zrobienia,,
ORL-PL-247236427,Orlen nr 232,"Stacja Orlen, Polska (współrzędne: 52.81561, 17.21853)",52.815608,17.218533,,Do zrobienia,,
ORL-PL-247286407,Orlen,ul. Nasielska 1,52.244236,21.096175,,Do zrobienia,,
ORL-PL-251693230,Orlen,"Stacja Orlen, Polska (współrzędne: 50.05512, 19.92519)",50.055122,19.925192,,Do zrobienia,,
ORL-PL-253041827,Orlen,"ul. Aleja Wyścigowa 2, Warszawa",52.165868,21.015899,,Do zrobienia,,
ORL-PL-254021620,Orlen,"Stacja Orlen, Polska (współrzędne: 52.17659, 21.04515)",52.176590,21.045149,,Do zrobienia,,
ORL-PL-254451731,Orlen,"Stacja Orlen, Polska (współrzędne: 52.21650, 20.99858)",52.216499,20.998576,,Do zrobienia,,
ORL-PL-254762158,Orlen nr 4078,"Stacja Orlen, Polska (współrzędne: 53.03246, 16.46999)",53.032461,16.469989,,Do zrobienia,,
ORL-PL-255239721,Orlen nr 1308,"ul. Gnieźnieńska 34, 75-721 Koszalin",54.176960,16.196888,,Do zrobienia,,
ORL-PL-255594959,Orlen,"Stacja Orlen, Polska (współrzędne: 52.23657, 21.08749)",52.236572,21.087487,,Do zrobienia,,
ORL-PL-258623659,Orlen nr 109,"ul. Słowiańska 1, 59-900 Zgorzelec",51.157332,15.028208,,Do zrobienia,,
ORL-PL-264266441,Orlen nr 600,"ul. Zgoda 19, 60-122 Poznań",52.382546,16.882807,,Do zrobienia,,
ORL-PL-265629974,Orlen nr 1327,"Stacja Orlen, Polska (współrzędne: 52.42651, 16.91815)",52.426511,16.918146,,Do zrobienia,,
ORL-PL-266561072,Orlen nr 4108,"Stacja Orlen, Polska (współrzędne: 51.20690, 16.18162)",51.206897,16.181623,,Do zrobienia,,
ORL-PL-267241999,Orlen,"Stacja Orlen, Polska (współrzędne: 53.42499, 14.54561)",53.424985,14.545612,,Do zrobienia,,
ORL-PL-267242075,Orlen,"Stacja Orlen, Polska (współrzędne: 53.43688, 14.53235)",53.436878,14.532349,,Do zrobienia,,
ORL-PL-267249076,Orlen,"Stacja Orlen, Polska (współrzędne: 53.45418, 14.53731)",53.454180,14.537315,,Do zrobienia,,
